Date,ticker,Open,High,Low,close,Volume
2014-10-15T00:00:00.000+05:00,SEARL,256.34,259.4,249.0,251.04,617200.0
2014-10-16T00:00:00.000+05:00,SEARL,251.04,253.0,238.49,240.33,659400.0
2014-10-17T00:00:00.000+05:00,SEARL,171.66,180.24,180.24,180.24,58100.0
2014-10-20T00:00:00.000+05:00,SEARL,180.24,189.25,183.0,189.23,1435400.0
2014-10-21T00:00:00.000+05:00,SEARL,189.23,193.5,179.77,180.64,764400.0
2014-10-22T00:00:00.000+05:00,SEARL,180.64,187.0,181.5,182.76,415500.0
2014-10-23T00:00:00.000+05:00,SEARL,182.76,191.89,181.25,191.89,980500.0
2014-10-24T00:00:00.000+05:00,SEARL,191.89,201.48,201.48,201.48,129600.0
2014-10-27T00:00:00.000+05:00,SEARL,201.48,211.55,204.51,211.55,1182000.0
2014-10-28T00:00:00.000+05:00,SEARL,211.55,219.89,208.0,214.25,1544500.0
2014-10-29T00:00:00.000+05:00,SEARL,214.25,224.96,215.99,224.96,1192800.0
2014-10-30T00:00:00.000+05:00,SEARL,224.96,236.2,224.05,235.91,1772900.0
2014-10-31T00:00:00.000+05:00,SEARL,235.91,239.5,229.01,231.5,1019100.0
2014-11-05T00:00:00.000+05:00,SEARL,231.5,243.07,232.5,243.07,1188100.0
2014-11-06T00:00:00.000+05:00,SEARL,243.07,255.22,237.0,244.6,1815600.0
2014-11-07T00:00:00.000+05:00,SEARL,244.6,255.87,244.5,253.38,993600.0
2014-11-10T00:00:00.000+05:00,SEARL,253.38,259.0,249.1,251.15,971300.0
2014-11-11T00:00:00.000+05:00,SEARL,251.15,256.75,242.0,246.99,1344400.0
2014-11-12T00:00:00.000+05:00,SEARL,246.99,255.98,247.1,252.23,1638600.0
2014-11-13T00:00:00.000+05:00,SEARL,252.23,257.23,245.0,246.12,1054800.0
2014-11-14T00:00:00.000+05:00,SEARL,246.12,249.5,242.15,243.93,394000.0
2014-11-17T00:00:00.000+05:00,SEARL,243.93,248.99,244.55,246.46,383300.0
2014-11-18T00:00:00.000+05:00,SEARL,246.46,258.78,249.0,258.78,1178200.0
2014-11-19T00:00:00.000+05:00,SEARL,258.78,271.0,255.01,260.21,1255900.0
2014-11-20T00:00:00.000+05:00,SEARL,260.21,262.0,247.2,252.46,1192600.0
2014-11-21T00:00:00.000+05:00,SEARL,252.46,265.08,252.3,265.04,2256100.0
2014-11-24T00:00:00.000+05:00,SEARL,265.04,271.0,255.7,257.56,1089100.0
2014-11-25T00:00:00.000+05:00,SEARL,257.56,256.98,249.01,255.62,753400.0
2014-11-26T00:00:00.000+05:00,SEARL,255.62,264.4,255.15,260.49,1129200.0
2014-11-27T00:00:00.000+05:00,SEARL,260.49,273.51,261.53,271.46,3682800.0
2014-11-28T00:00:00.000+05:00,SEARL,271.46,276.4,266.5,270.59,1894900.0
2014-12-01T00:00:00.000+05:00,SEARL,270.59,275.9,271.17,272.32,1515900.0
2014-12-02T00:00:00.000+05:00,SEARL,272.32,274.6,266.0,267.51,972100.0
2014-12-03T00:00:00.000+05:00,SEARL,267.51,279.45,266.29,272.48,2827900.0
2014-12-04T00:00:00.000+05:00,SEARL,272.48,283.5,272.48,279.28,1533900.0
2014-12-05T00:00:00.000+05:00,SEARL,279.28,288.95,279.51,282.41,959500.0
2014-12-08T00:00:00.000+05:00,SEARL,282.41,284.48,277.7,278.48,493200.0
2014-12-09T00:00:00.000+05:00,SEARL,278.48,283.5,277.15,281.03,588000.0
2014-12-10T00:00:00.000+05:00,SEARL,281.03,282.9,267.0,268.25,863700.0
2014-12-11T00:00:00.000+05:00,SEARL,268.25,274.0,254.84,254.86,1294000.0
2014-12-12T00:00:00.000+05:00,SEARL,254.86,250.1,242.12,244.94,2627100.0
2014-12-15T00:00:00.000+05:00,SEARL,244.94,255.9,240.02,254.37,1423300.0
2014-12-16T00:00:00.000+05:00,SEARL,254.37,262.99,249.0,256.12,2180400.0
2014-12-17T00:00:00.000+05:00,SEARL,256.12,267.0,260.0,261.39,1412100.0
2014-12-18T00:00:00.000+05:00,SEARL,261.39,272.5,265.0,267.01,1038900.0
2014-12-19T00:00:00.000+05:00,SEARL,267.01,265.99,256.06,257.55,1335400.0
2014-12-22T00:00:00.000+05:00,SEARL,257.55,261.9,252.1,258.82,425800.0
2014-12-23T00:00:00.000+05:00,SEARL,258.82,267.0,258.0,260.66,815500.0
2014-12-24T00:00:00.000+05:00,SEARL,260.66,263.5,257.16,259.3,237800.0
2014-12-26T00:00:00.000+05:00,SEARL,259.3,260.99,253.1,257.95,418100.0
2014-12-29T00:00:00.000+05:00,SEARL,257.95,260.0,252.0,252.93,336300.0
2014-12-30T00:00:00.000+05:00,SEARL,252.93,250.5,240.29,240.29,506100.0
2014-12-31T00:00:00.000+05:00,SEARL,240.29,243.95,228.28,241.84,1597400.0
2015-01-01T00:00:00.000+05:00,SEARL,241.84,243.25,239.0,241.78,223400.0
2015-01-02T00:00:00.000+05:00,SEARL,241.78,251.95,241.0,247.25,704000.0
2015-01-05T00:00:00.000+05:00,SEARL,247.25,254.69,247.5,248.7,594600.0
2015-01-06T00:00:00.000+05:00,SEARL,248.7,252.25,245.0,248.52,545600.0
2015-01-07T00:00:00.000+05:00,SEARL,248.52,252.3,245.25,247.48,402900.0
2015-01-08T00:00:00.000+05:00,SEARL,247.48,250.0,245.0,245.96,217100.0
2015-01-09T00:00:00.000+05:00,SEARL,245.96,249.4,241.75,242.73,393100.0
2015-01-12T00:00:00.000+05:00,SEARL,242.73,254.86,242.5,249.27,1861800.0
2015-01-13T00:00:00.000+05:00,SEARL,249.27,254.45,250.0,252.56,787700.0
2015-01-14T00:00:00.000+05:00,SEARL,252.56,261.43,253.0,257.96,1099800.0
2015-01-15T00:00:00.000+05:00,SEARL,257.96,264.8,258.55,261.38,850600.0
2015-01-16T00:00:00.000+05:00,SEARL,261.38,266.0,255.51,256.75,553200.0
2015-01-19T00:00:00.000+05:00,SEARL,256.75,262.1,256.0,257.77,690600.0
2015-01-20T00:00:00.000+05:00,SEARL,257.77,260.0,256.0,256.68,148300.0
2015-01-21T00:00:00.000+05:00,SEARL,256.68,260.0,254.01,255.07,257900.0
2015-01-22T00:00:00.000+05:00,SEARL,255.07,256.96,248.0,249.67,269400.0
2015-01-23T00:00:00.000+05:00,SEARL,249.67,254.04,249.01,251.66,286200.0
2015-01-26T00:00:00.000+05:00,SEARL,251.66,263.89,253.0,260.58,997100.0
2015-01-27T00:00:00.000+05:00,SEARL,260.58,273.6,260.05,266.08,1838400.0
2015-01-28T00:00:00.000+05:00,SEARL,266.08,270.5,263.5,264.43,722200.0
2015-01-29T00:00:00.000+05:00,SEARL,264.43,266.38,261.0,261.77,173100.0
2015-01-30T00:00:00.000+05:00,SEARL,262.5,266.01,259.4,260.3,329800.0
2015-02-02T00:00:00.000+05:00,SEARL,260.3,261.01,263.99,259.0,260.0
2015-02-03T00:00:00.000+05:00,SEARL,259.55,261.0,261.0,255.0,257.0
2015-02-04T00:00:00.000+05:00,SEARL,256.62,256.0,258.99,249.51,251.0
2015-02-06T00:00:00.000+05:00,SEARL,252.4,252.98,246.06,246.96,275800.0
2015-02-09T00:00:00.000+05:00,SEARL,249.26,258.0,248.95,251.22,620500.0
2015-02-10T00:00:00.000+05:00,SEARL,253.0,255.0,245.0,248.92,242600.0
2015-02-11T00:00:00.000+05:00,SEARL,250.8,252.23,248.52,250.07,160900.0
2015-02-12T00:00:00.000+05:00,SEARL,249.0,249.95,240.0,246.34,217400.0
2015-02-13T00:00:00.000+05:00,SEARL,244.51,248.9,244.5,245.58,68700.0
2015-02-16T00:00:00.000+05:00,SEARL,245.99,257.85,245.99,257.85,759700.0
2015-02-17T00:00:00.000+05:00,SEARL,261.52,270.74,261.0,263.23,947100.0
2015-02-18T00:00:00.000+05:00,SEARL,269.0,273.89,264.51,267.81,1247900.0
2015-02-19T00:00:00.000+05:00,SEARL,266.7,266.7,256.0,257.32,414400.0
2015-02-20T00:00:00.000+05:00,SEARL,256.09,257.8,249.11,250.72,293400.0
2015-02-23T00:00:00.000+05:00,SEARL,250.61,254.5,248.0,249.73,225200.0
2015-02-24T00:00:00.000+05:00,SEARL,250.5,251.9,244.5,245.59,307600.0
2015-02-25T00:00:00.000+05:00,SEARL,242.5,251.0,242.5,245.46,650700.0
2015-02-26T00:00:00.000+05:00,SEARL,245.99,251.0,245.5,247.31,377800.0
2015-02-27T00:00:00.000+05:00,SEARL,248.99,248.85,244.0,244.67,276400.0
2015-03-02T00:00:00.000+05:00,SEARL,246.0,247.0,232.44,232.5,440100.0
2015-03-03T00:00:00.000+05:00,SEARL,232.5,239.0,229.0,232.78,628300.0
2015-03-04T00:00:00.000+05:00,SEARL,234.8,237.0,230.75,232.43,327600.0
2015-03-05T00:00:00.000+05:00,SEARL,233.0,237.5,233.0,233.64,505300.0
2015-03-06T00:00:00.000+05:00,SEARL,235.0,238.47,232.25,234.76,522900.0
2015-03-09T00:00:00.000+05:00,SEARL,233.5,234.98,230.5,231.04,224000.0
2015-03-10T00:00:00.000+05:00,SEARL,232.9,232.9,219.49,219.51,528200.0
2015-03-11T00:00:00.000+05:00,SEARL,215.0,218.0,211.51,214.59,682600.0
2015-03-12T00:00:00.000+05:00,SEARL,216.01,221.48,214.99,216.17,523400.0
2015-03-13T00:00:00.000+05:00,SEARL,217.9,226.97,217.7,226.97,1149600.0
2015-03-16T00:00:00.000+05:00,SEARL,230.9,237.97,229.5,231.86,873600.0
2015-03-17T00:00:00.000+05:00,SEARL,233.99,235.99,228.02,233.32,607200.0
2015-03-18T00:00:00.000+05:00,SEARL,233.6,234.5,221.66,223.45,507100.0
2015-03-19T00:00:00.000+05:00,SEARL,223.0,229.01,219.36,221.08,337300.0
2015-03-20T00:00:00.000+05:00,SEARL,222.89,230.5,222.0,229.08,460200.0
2015-03-24T00:00:00.000+05:00,SEARL,232.5,233.0,225.0,226.87,301900.0
2015-03-25T00:00:00.000+05:00,SEARL,228.0,228.0,220.0,220.85,225800.0
2015-03-26T00:00:00.000+05:00,SEARL,222.9,225.0,209.81,215.17,453200.0
2015-03-27T00:00:00.000+05:00,SEARL,217.4,220.25,209.49,211.47,509600.0
2015-03-30T00:00:00.000+05:00,SEARL,212.0,212.0,200.9,200.9,226600.0
2015-03-31T00:00:00.000+05:00,SEARL,194.0,210.94,194.0,210.94,696900.0
2015-04-01T00:00:00.000+05:00,SEARL,211.0,221.48,204.55,220.74,835000.0
2015-04-02T00:00:00.000+05:00,SEARL,223.5,231.77,222.3,230.82,525700.0
2015-04-03T00:00:00.000+05:00,SEARL,233.9,241.0,232.5,239.46,470800.0
2015-04-06T00:00:00.000+05:00,SEARL,241.0,244.9,235.01,238.85,521300.0
2015-04-07T00:00:00.000+05:00,SEARL,239.0,239.99,232.52,232.97,198000.0
2015-04-08T00:00:00.000+05:00,SEARL,233.99,236.0,232.0,233.22,124500.0
2015-04-09T00:00:00.000+05:00,SEARL,232.6,234.2,229.5,231.24,95100.0
2015-04-10T00:00:00.000+05:00,SEARL,232.5,240.7,232.0,237.32,474500.0
2015-04-13T00:00:00.000+05:00,SEARL,238.0,249.18,232.7,244.33,1134000.0
2015-04-14T00:00:00.000+05:00,SEARL,245.0,247.99,238.0,239.77,354600.0
2015-04-15T00:00:00.000+05:00,SEARL,242.99,245.75,239.0,240.25,237700.0
2015-04-16T00:00:00.000+05:00,SEARL,244.26,244.99,240.05,240.77,321700.0
2015-04-17T00:00:00.000+05:00,SEARL,241.51,243.7,235.71,238.62,571000.0
2015-04-20T00:00:00.000+05:00,SEARL,240.5,245.24,239.0,240.54,762200.0
2015-04-21T00:00:00.000+05:00,SEARL,241.0,252.56,236.3,251.53,1900200.0
2015-04-22T00:00:00.000+05:00,SEARL,257.0,264.1,255.0,258.01,1355800.0
2015-04-24T00:00:00.000+05:00,SEARL,263.0,265.15,258.0,259.16,343900.0
2015-04-27T00:00:00.000+05:00,SEARL,260.5,271.0,258.0,269.69,1243900.0
2015-04-28T00:00:00.000+05:00,SEARL,269.99,271.0,261.5,262.39,432100.0
2015-04-29T00:00:00.000+05:00,SEARL,263.0,266.89,259.0,259.78,561700.0
2015-04-30T00:00:00.000+05:00,SEARL,259.0,263.2,258.0,261.28,476100.0
2015-05-04T00:00:00.000+05:00,SEARL,262.8,266.0,259.0,261.08,866800.0
2015-05-05T00:00:00.000+05:00,SEARL,260.95,260.99,255.0,256.73,317000.0
2015-05-06T00:00:00.000+05:00,SEARL,257.88,260.45,253.99,254.45,343300.0
2015-05-07T00:00:00.000+05:00,SEARL,256.0,256.0,250.12,250.84,208200.0
2015-05-08T00:00:00.000+05:00,SEARL,250.0,256.25,250.0,254.99,813000.0
2015-05-11T00:00:00.000+05:00,SEARL,253.26,253.26,242.25,243.53,336800.0
